1.7942,-0.0879,0.0000,-2.6062,0.9334,-8.0032
1.8302,-0.0879,0.0000,-2.6062,0.9334,-8.0032
1.8782,-0.0879,0.0000,-2.6062,0.9334,-8.0032
1.9101,-0.0879,0.0000,-2.6062,0.9334,-8.0032
1.9658,-0.0879,0.0000,-2.6062,0.9334,-8.0032
1.9980,-0.0879,0.0000,-2.6062,0.9334,-8.0032
2.0300,-0.0879,0.0000,-2.6062,0.9334,-8.0032
2.0659,-0.0879,0.0000,-2.6062,0.9334,-8.0032
2.1184,-0.0879,0.0000,-2.6062,0.9334,-8.0032
2.1499,-0.0879,0.0000,-2.6062,0.9334,-8.0032
2.1864,-0.0879,0.0000,-2.6062,0.9334,-8.0032
2.2338,-0.0879,0.0000,-2.6062,0.9334,-8.0032
2.2659,-0.0879,0.0000,-2.6062,0.9334,-8.0032
2.2980,-0.0879,0.0000,-2.6062,0.9334,-8.0032
2.3300,-0.0879,0.0000,-2.6062,0.9334,-8.0032
2.3979,-0.0879,0.0000,-2.6062,0.9334,-8.0032
2.4299,-0.0879,0.0000,-2.6062,0.9334,-8.0032
2.4619,-0.0879,0.0000,-2.6062,0.9334,-8.0032
2.4978,-0.0879,0.0000,-2.6062,0.9334,-8.0032
2.5503,-0.0879,0.0000,-2.6062,0.9334,-8.0032
2.5820,-0.0879,0.0000,-2.6062,0.9334,-8.0032
2.6139,-0.0879,0.0000,-2.6062,0.9334,-8.0032
2.6500,-0.0879,0.0000,-2.6062,0.9334,-8.0032
2.7020,-0.0879,0.0000,-2.6062,0.9334,-8.0032
2.7342,-0.0879,0.0000,-2.6062,0.9334,-8.0032
2.7700,-0.0879,0.0000,-2.6062,0.9334,-8.0032
2.8064,-0.0879,0.0000,-2.6062,0.9334,-8.0032
2.8460,-0.0863,0.0000,-2.6334,0.9226,-8.0045
2.8783,-0.0863,0.0000,-2.6334,0.9226,-8.0045
2.9104,-0.0863,0.0000,-2.6334,0.9226,-8.0045
2.9462,-0.0863,0.0000,-2.6334,0.9226,-8.0045
2.9863,-0.0863,0.0000,-2.6334,0.9226,-8.0045
3.0300,-0.0863,0.0000,-2.6334,0.9226,-8.0045
3.0618,-0.0863,0.0000,-2.6334,0.9226,-8.0045
3.0943,-0.0863,0.0000,-2.6334,0.9226,-8.0045
3.1341,-0.0863,0.0000,-2.6334,0.9226,-8.0045
3.1819,-0.0834,0.0000,-2.6427,0.8964,-8.0065
3.2139,-0.0749,0.0000,-2.6355,0.7958,-8.0123
3.2620,-0.0720,0.0000,-2.6375,0.7574,-8.0141
3.2941,-0.0609,0.0000,-2.6419,0.5807,-8.0204
3.3259,-0.0578,0.0000,-2.6477,0.5035,-8.0220
3.3660,-0.0566,0.0000,-2.6526,0.4559,-8.0226
3.3979,0.0551,0.0000,-2.6098,0.3302,-8.0230
3.4299,0.0572,-0.0005,-2.6378,0.2529,-8.0213
3.5023,-0.0710,0.1156,-2.7783,0.2172,-8.0051
3.5338,0.0601,0.0689,-2.7786,-0.0120,-8.0091
3.5660,0.0804,0.0005,-2.7489,-0.1023,-8.0105
3.5978,0.0871,0.0007,-2.7522,-0.1837,-8.0064
